Year,Appendicitis,Influenza
1970,14.77,9.75
1971,13.72,5.82
1972,14.30,10.99
1973,14.16,10.41
1974,13.05,8.42
1975,13.07,8.72
1976,13.05,11.01
1977,14.01,6.08
1978,11.86,8.61
1979,11.55,3.80
1980,11.41,5.87
1981,11.51,6.61
1982,10.25,3.27
1983,10.19,4.19
1984,10.09,4.44
1985,9.28,3.53
1986,8.76,4.57
1987,9.62,1.91
1988,8.34,2.85
1989,7.63,2.89
1990,7.88,2.79
1991,7.39,1.88
1992,7.16,0.90
1993,6.68,1.90
1994,7.32,1.91
1995,6.04,1.28
1996,6.34,1.33
1997,5.64,1.28
1998,6.92,2.03
1999,7.15,2.23
2000,7.32,2.45
2001,8.09,0.90
2002,8.00,1.61
2003,8.35,3.64
2004,8.35,1.25
2005,8.25,3.28
